file,total_issues,empty_labels,nonempty_labels,percent_with_labels,unique_labels,top_labels
strands-agents_sdk-python_labeled_issues.json,107,0,107,100.0,7,"[('enhancement', 68), ('bug', 39), ('ready for contribution', 4), ('good first issue', 2), ('under consideration', 1)]"
weaviate_Verba_labeled_issues.json,222,0,222,100.0,8,"[('enhancement', 82), ('investigating', 69), ('bug', 50), ('documentation', 16), ('installation', 10)]"
CatchTheTornado_text-extract-api_labeled_issues.json,45,0,45,100.0,9,"[('feature', 30), ('bug', 7), ('help wanted', 3), ('maitenance', 3), ('refactor', 2)]"
containers_ramalama_labeled_issues.json,114,0,114,100.0,5,"[('bug', 57), ('enhancement', 35), ('good first issue', 32), ('question', 1), ('help wanted', 1)]"
khoj-ai_khoj_labeled_issues.json,361,0,361,100.0,12,"[('fix', 186), ('upgrade', 121), ('question', 30), ('good first issue', 18), ('documentation', 11)]"
filtered_repositories.json,179,179,0,0.0,0,"[]"
LearningCircuit_local-deep-research_labeled_issues.json,93,0,93,100.0,13,"[('bug', 55), ('enhancement', 31), ('needs-replication', 7), ('rc/0.3.0', 7), ('rc/0.1.*', 6)]"
xusenlinzy_api-for-open-llm_labeled_issues.json,73,0,73,100.0,6,"[('question', 61), ('enhancement', 6), ('environment', 2), ('bug', 2), ('solved', 2)]"
Marker-Inc-Korea_AutoRAG_labeled_issues.json,399,0,399,100.0,22,"[('enhancement', 193), ('bug', 114), ('New Module', 50), ('High Priority', 38), ('documentation', 34)]"
BeehiveInnovations_zen-mcp-server_labeled_issues.json,55,0,55,100.0,6,"[('bug', 30), ('enhancement', 20), ('documentation', 2), ('good first issue', 2), ('feature', 2)]"
itsOwen_CyberScraper-2077_labeled_issues.json,4,0,4,100.0,4,"[('bug', 3), ('enhancement', 2), ('working', 1), ('help wanted', 1)]"
